zip,geoid,state_name,county_name,city_name,aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
90001,86000US90001,California,Los Angeles,Florence-Graham; Huntington Park; Los Angeles,"9,071,081","$43,360","$2,437","$54,325","$1,926","$13,727",$463,0.7%,0.4%,"$41,207","$6,633","$44,976","$5,090","$49,008","$3,698","$31,250","$2,657","13,669","3,646","3,951","2,681","1,516","1,382",396,97,"59,832",386,"5,113",39,105,0,169,91,"53,929","17,083.3","59,832","4,799","4,824","4,984","4,167","3,652","2,978","2,136","1,382","5,607","5,677","4,703","4,617","4,092","3,195","1,884","1,135",29.1,"34,086",52.8%,24.0%,17.6%,4.8%,0.8%,"11,206",23.3%,"27,148",8.7%,"14,174","$359,000","13,669","11,206","6,048","3,287","5,158","2,746","2,463"
90002,86000US90002,California,Los Angeles,Florence-Graham; Los Angeles; Lynwood,"7,930,602","$37,285","$1,920","$49,724","$2,082","$13,284",$592,1.2%,0.6%,"$29,455","$5,137","$36,209","$3,061","$44,634","$3,331","$23,235","$5,772","12,917","4,562","3,501","2,117","1,212","1,116",257,152,"53,302",209,"9,762",473,433,49,192,136,"42,048","17,407.4","53,302","4,602","4,999","4,828","3,928","3,659","2,723","1,858","1,283","4,929","4,469","4,357","3,328","3,551","2,411","1,591",786,28.0,"29,392",50.8%,24.7%,18.5%,4.7%,1.2%,"10,266",31.2%,"22,640",9.7%,"13,546","$345,900","12,917","10,266","5,034","2,639","5,232","3,011","2,651"
90003,86000US90003,California,Los Angeles,Los Angeles,"9,197,635","$40,598","$1,743","$51,181","$1,916","$13,441",$568,0.9%,0.4%,"$37,159","$10,117","$37,970","$3,081","$46,117","$3,732","$30,438","$5,874","17,484","5,667","4,918","2,900","1,979","1,497",366,157,"73,730",339,"14,870",119,171,0,248,217,"57,766","20,761.8","73,730","6,181","6,124","6,816","5,411","4,645","4,399","2,260","1,759","6,658","7,098","6,040","5,352","3,962","3,638","2,382","1,005",28.3,"42,049",47.9%,28.1%,18.2%,4.4%,1.4%,"14,183",28.7%,"32,790",9.0%,"18,523","$362,800","17,484","14,183","6,699","3,843","7,484","3,996","3,301"
90004,86000US90004,California,Los Angeles,Los Angeles,"7,894,528","$49,675","$1,784","$84,325","$4,154","$32,090","$1,591",8.2%,1.0%,"$31,944","$9,182","$52,273","$3,433","$52,618","$3,574","$35,679","$7,692","22,004","4,831","6,254","3,822","2,328","2,185",780,"1,804","60,541","10,877","2,114",49,"15,262",129,180,"1,484","30,446","19,861.9","60,541","3,837","2,876","5,403","5,089","4,276","3,734","2,868","2,624","3,154","3,056","5,248","6,045","4,743","3,486","2,582","1,520",35.2,"43,625",25.5%,21.1%,18.4%,25.5%,9.5%,"12,337",14.4%,"35,094",4.6%,"25,192","$1,063,200","22,004","12,337","7,948","3,607","4,389","1,785","9,667"
90005,86000US90005,California,Los Angeles,Los Angeles,"2,807,558","$38,491","$2,241","$54,841","$2,731","$24,267","$1,334",3.6%,1.1%,"$27,961","$7,526","$45,858","$3,312","$44,438","$5,420","$19,636","$2,215","16,781","5,328","5,125","2,949","1,220","1,130",431,598,"39,732","3,481","2,113",111,"13,541",65,209,552,"19,660","36,653.0","39,732","2,055","1,798","3,706","3,080","2,918","2,192","1,726","2,216","2,341","1,849","3,640","3,955","3,296","2,214","1,370","1,376",35.6,"29,038",29.6%,22.4%,16.8%,22.9%,8.4%,"8,169",21.5%,"23,238",5.6%,"18,291","$777,100","16,781","8,169","4,674","1,814","3,495","1,421","8,612"
90006,86000US90006,California,Los Angeles,Los Angeles,"4,972,251","$37,072","$1,325","$50,157","$1,978","$17,791",$651,1.3%,0.5%,"$40,221","$6,626","$38,628","$1,743","$40,656","$3,005","$21,366","$3,837","19,337","6,129","6,244","3,367","1,514","1,340",484,259,"59,576","2,707","1,801",125,"10,837",113,134,322,"43,537","31,032.5","59,576","3,830","3,571","4,768","4,855","3,779","3,660","2,932","2,687","3,815","3,606","5,288","5,515","4,095","3,478","2,112","1,585",34.1,"40,738",41.6%,23.2%,16.2%,15.1%,3.9%,"12,562",23.8%,"33,342",7.0%,"21,124","$608,600","19,337","12,562","6,266","2,662","6,296","2,936","6,775"
90007,86000US90007,California,Los Angeles,Los Angeles,"6,389,840","$27,406","$2,657","$52,447","$6,941","$17,808","$2,484",1.8%,0.6%,"$10,729","$2,442","$37,859","$3,907","$36,033","$4,485","$19,784","$5,284","11,919","5,485","2,656","1,637","1,090",577,261,213,"42,433","6,916","4,425",55,"8,147",60,111,"1,047","21,672","17,199.3","42,433","1,350","3,494","7,683","1,901","1,815","1,671","1,261","1,381","1,707","3,519","9,493","2,420","1,309","1,476","1,267",686,24.3,"20,189",34.5%,20.7%,18.1%,17.6%,9.0%,"5,417",23.2%,"20,430",12.4%,"13,038","$622,600","11,919","5,417","2,618",968,"2,799","1,245","6,502"
90008,86000US90008,California,Los Angeles,Ladera Heights; Los Angeles; View Park-Windsor Hills,"9,513,272","$43,364","$2,832","$69,070","$5,376","$33,723","$2,607",5.8%,1.2%,"$36,087","$22,174","$44,104","$7,712","$44,580","$4,735","$39,660","$4,853","14,858","4,960","3,325","2,175","1,177","1,679",687,855,"31,754","1,844","20,350",60,"1,082",21,210,621,"7,566","8,645.0","31,754","1,182","1,807","2,363","2,270","2,448","2,824","2,685","2,253","1,077","1,638","2,126","1,978","1,886","2,274","1,592","1,351",43.2,"23,860",16.1%,17.8%,36.2%,16.5%,13.5%,"6,708",16.8%,"17,125",10.1%,"16,147","$701,800","14,858","6,708","3,373","1,139","3,335","1,025","8,150"
90010,86000US90010,California,Los Angeles,Los Angeles,"1,184,444","$63,112","$11,221","$82,447","$13,469","$44,814","$7,032",8.0%,3.6%,-$1,-$1,"$64,046","$7,657","$75,357","$20,356","$26,875","$21,184","2,029",495,408,388,200,285,90,163,"3,822",543,208,12,"2,472",36,9,172,370,"8,357.5","3,822",130,117,433,375,172,252,213,308,160,35,477,351,181,228,184,206,37.1,"3,117",8.1%,16.6%,25.2%,39.5%,10.6%,848,12.7%,"2,302",7.9%,"2,459","$866,000","2,029",848,681,132,167,25,"1,181"
90011,86000US90011,California,Los Angeles,Los Angeles,"11,100,440","$40,940","$1,576","$52,535","$1,708","$12,931",$398,1.0%,0.3%,"$46,029","$7,177","$38,110","$2,702","$45,748","$2,923","$31,194","$3,393","24,433","7,222","7,521","4,053","2,727","2,085",576,249,"111,165",582,"8,147",178,617,56,63,339,"101,183","25,937.4","111,165","9,368","9,609","9,509","7,559","7,900","5,173","3,324","2,496","9,987","9,603","9,678","8,339","8,176","5,322","3,274","1,848",28.7,"63,033",58.1%,21.5%,15.2%,3.7%,1.6%,"20,788",29.7%,"51,765",8.2%,"25,496","$377,600","24,433","20,788","10,764","5,724","10,024","5,623","3,645"
