city,state,zip,access_code,access_days_time,latitude,longitude,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,county
Los Angeles,CA,90015,public,24 hours daily - pay lot,34.040539,-118.271387,,12,,Los Angeles County
El Monte,CA,91731,public,24 hours daily,34.06872,-118.064,,3,,Los Angeles County
La Jolla,CA,92037,public,24 hours daily,32.89947,-117.243,,1,,San Diego County
Escondido,CA,92027,public,24 hours daily,33.098589,-117.004433,,2,,San Diego County
Pasadena,CA,91103,public,24 hours daily - pay lot,34.14762,-118.147111,,16,,Los Angeles County
Pasadena,CA,91105,public,24 hours daily - pay lot,34.145138,-118.152655,,2,,Los Angeles County
Pasadena,CA,91105,public,24 hours daily - pay lot,34.145119,-118.150133,,3,,Los Angeles County
Pasadena,CA,91101,public,24 hours daily - for guest use only - valet fee,34.142973,-118.140553,,4,,Los Angeles County
South Pasadena,CA,91030,public,24 hours daily,34.118433,-118.149597,,,,Los Angeles County
Long Beach,CA,90802,public,24 hours daily - pay lot - see valet for access,33.7637,-118.192,,1,,Los Angeles County
Los Angeles,CA,90045,public,24 hours daily - pay lot,33.94325,-118.403342,,20,,Los Angeles County
Ontario,CA,91764,public,24 hours daily - guest use only,34.07122,-117.575,,1,,San Bernardino County
Oxnard,CA,93030,public,24 hours daily - guest use only,34.228315,-119.170865,,1,,Ventura County
Palm Springs,CA,92262,public,24 hours daily - pay lot - priority given to registered guests,33.824004,-116.543589,,2,,Riverside County
Riverside,CA,92509,public,24 hours M-Th - 12am-4:30pm F,34.0189,-117.38,,3,,Riverside County
Sacramento,CA,95837,public,24 hours daily - pay lot,38.69005,-121.58889,,4,,Sacramento County
Santa Monica,CA,90405,public,24 hours daily,34.017081,-118.44704,,2,,Los Angeles County
Santa Monica,CA,90405,public,24 hours daily - pay lot,34.010021,-118.49583,,3,,Los Angeles County
Temecula,CA,92590,public,24 hours daily,33.49605,-117.152,,1,,Riverside County
Universal City,CA,91608,public,24 hours daily - pay lot - see valet for access,34.138717,-118.35904,1,,,Los Angeles County
Van Nuys,CA,91405,public,24 hours daily,34.21108,-118.448704,,4,,Los Angeles County
Downey,CA,90241,public,24 hours daily,33.94756,-118.153806,,4,,Los Angeles County
Lancaster,CA,93534,public,24 hours daily,34.698914,-118.145218,,5,,Los Angeles County
San Francisco,CA,94133,public,24 hours daily - pay lot - see valet for access,37.80619,-122.4152,,1,,San Francisco County
Sacramento,CA,95815,public,24 hours daily,38.599693,-121.427045,,4,,Sacramento County
San Francisco,CA,94115,public,24 hours daily - pay lot,37.784912,-122.430237,,,,San Francisco County
San Francisco,CA,94104,public,24 hours daily - pay lot,37.792058,-122.404312,,,,San Francisco County
San Francisco,CA,94105,public,24 hours daily,37.78881,-122.401,,1,,San Francisco County
San Francisco,CA,94108,public,24 hours daily - for guest use only - see valet for access,37.791791,-122.411265,,1,,San Francisco County
Los Angeles,CA,90048,public,24 hours daily - for guest use only - see valet for access,34.076264,-118.377527,,2,,Los Angeles County
Encino,CA,91436,public,24 hours daily,34.169242,-118.497212,,1,,Los Angeles County
Northridge,CA,91330,public,24 hours daily - parking permit required,34.248959,-118.523887,,2,,Los Angeles County
Northridge,CA,91330,public,24 hours daily - parking permit required,34.241687,-118.528543,,2,,Los Angeles County
Northridge,CA,91330,public,24 hours daily - parking permit required,34.236853,-118.532588,,4,,Los Angeles County
Northridge,CA,91324,public,24 hours daily,34.229277,-118.544827,,4,,Los Angeles County
San Fernando,CA,91342,public,24 hours daily,34.2924134,-118.4497914,,4,,Los Angeles County
Arcadia,CA,91007,public,24 hours daily,34.145528,-118.050548,,3,,Los Angeles County
Culver City,CA,90230,public,24 hours daily - guest use only,33.9826,-118.3966,,2,,Los Angeles County
Los Angeles,CA,90034,public,24 hours daily,34.029971,-118.385231,,6,,Los Angeles County
Camarillo,CA,93012,public,24 hours daily,34.16657602,-119.0458547,,5,,Ventura County
Newbury Park,CA,91320,public,24 hours daily,34.192178,-118.934793,4,2,,Ventura County
San Dimas,CA,91773,public,24 hours daily,34.105275,-117.809208,,2,,Los Angeles County
Pasadena,CA,91101,public,24 hours daily - pay lot,34.147709,-118.136621,,2,,Los Angeles County
Ventura,CA,93003,public,24 hours daily,34.268,-119.2492,,2,,Ventura County
Davis,CA,95616,public,24 hours daily,38.539336,-121.732405,1,3,,Yolo County
Santa Cruz,CA,95061,public,24 hours daily,36.973393,-122.024849,,5,,Santa Cruz County
