zip,count
94025,256
95054,249
92618,209
95814,139
94080,135
92802,133
94607,123
92101,115
94128,111
92617,109
90802,107
92037,80
94588,80
92612,79
94063,76
95128,73
92121,71
95134,71
95110,68
94158,67
90007,67
92626,65
95113,61
90015,59
94040,59
90067,59
94306,59
94305,58
94304,56
90012,54
95035,54
95112,53
90045,52
92614,52
94065,51
94704,51
92660,50
95014,49
90401,48
92868,47
94612,47
94538,47
93446,47
95630,46
94086,46
90245,46
90210,45
93720,45
90071,44
94103,42
92108,42
90405,41
92866,41
95008,40
90803,40
90038,39
94903,39
90028,39
92262,38
95050,38
90404,38
92832,38
94559,37
94085,36
90017,36
94558,36
91746,35
91602,34
94574,34
91789,34
90266,33
94403,32
91311,32
94568,31
94102,31
90013,30
91101,30
90230,30
93101,30
95448,29
91502,29
91303,29
92562,29
92093,29
90025,29
92603,28
93612,28
90094,28
94545,28
92501,28
92346,27
94539,27
95811,27
93940,26
90503,26
95131,26
94105,26
94108,26
94551,26
93721,26
94542,26
92260,25
94513,25
94928,25
94066,24
92507,24
94301,24
92805,24
90232,23
95133,23
94544,23
92648,23
96150,23
91356,23
95616,22
93401,22
91367,22
94404,22
92122,22
94553,22
90064,22
90021,21
90033,21
92130,21
94515,21
95401,21
91731,21
94534,21
90046,21
91203,21
90069,21
96161,20
92009,20
94598,20
93003,20
94022,20
91505,20
94402,19
94107,19
90036,19
93534,19
92831,19
92123,19
90068,19
90505,19
94590,19
90005,19
90034,18
95482,18
94901,18
91355,18
90048,18
92407,18
94132,17
94621,17
92310,17
91608,17
95119,17
92656,17
92555,17
94565,17
91362,17
91950,17
92020,17
94041,17
93727,16
91105,16
91601,16
92054,16
92630,16
91730,16
95667,16
92201,16
92602,16
94111,16
94523,16
93449,16
94043,16
91361,15
94904,15
90272,15
94596,15
94952,15
92683,15
95060,15
91764,15
90292,15
94806,15
93901,15
94303,15
92657,15
92021,15
92606,15
94089,15
94597,15
92311,15
95403,15
91604,15
91911,15
91331,15
94061,15
90049,15
90019,14
90706,14
92701,14
94608,14
94609,14
94566,14
93108,14
92410,14
90815,14
