"County","Sector","2019","Total Usage"
"ALAMEDA","Total","   10684.085867","   10684.085867"
"ALPINE","Total","      18.906214","      18.906214"
"AMADOR","Total","     317.885054","     317.885054"
"BUTTE","Total","    1396.246344","    1396.246344"
"CALAVERAS","Total","     330.559070","     330.559070"
"COLUSA","Total","     285.485140","     285.485140"
"CONTRA COSTA","Total","    9639.409434","    9639.409434"
"DEL NORTE","Total","     210.253670","     210.253670"
"EL DORADO","Total","    1227.890625","    1227.890625"
"FRESNO","Total","    7387.264573","    7387.264573"
"GLENN","Total","     394.097988","     394.097988"
"HUMBOLDT","Total","     791.364172","     791.364172"
"IMPERIAL","Total","    1415.790908","    1415.790908"
"INYO","Total","     208.606317","     208.606317"
"KERN","Total","   17105.082388","   17105.082388"
"KINGS","Total","    1583.071346","    1583.071346"
"LAKE","Total","     446.071293","     446.071293"
"LASSEN","Total","     403.756483","     403.756483"
"LOS ANGELES","Total","   66118.673005","   66118.673005"
"MADERA","Total","    1568.007913","    1568.007913"
"MARIN","Total","    1355.342745","    1355.342745"
"MARIPOSA","Total","     109.731056","     109.731056"
"MENDOCINO","Total","     562.262881","     562.262881"
"MERCED","Total","    3698.606433","    3698.606433"
"MODOC","Total","     145.174152","     145.174152"
"MONO","Total","     205.216773","     205.216773"
"MONTEREY","Total","    2470.652329","    2470.652329"
"NAPA","Total","    1042.999221","    1042.999221"
"NEVADA","Total","     712.541032","     712.541032"
"ORANGE","Total","   19459.508543","   19459.508543"
"PLACER","Total","    2914.872353","    2914.872353"
"PLUMAS","Total","     210.488311","     210.488311"
"RIVERSIDE","Total","   15520.129785","   15520.129785"
"SACRAMENTO","Total","   10828.217140","   10828.217140"
"SAN BENITO","Total","     379.870420","     379.870420"
"SAN BERNARDINO","Total","   14987.210320","   14987.210320"
"SAN DIEGO","Total","   19047.674168","   19047.674168"
"SAN FRANCISCO","Total","    5603.604207","    5603.604207"
"SAN JOAQUIN","Total","    5583.337799","    5583.337799"
"SAN LUIS OBISPO","Total","    1707.385625","    1707.385625"
"SAN MATEO","Total","    4325.279371","    4325.279371"
"SANTA BARBARA","Total","    2757.613073","    2757.613073"
"SANTA CLARA","Total","   16664.460569","   16664.460569"
"SANTA CRUZ","Total","    1200.684246","    1200.684246"
"SHASTA","Total","    1535.590927","    1535.590927"
"SIERRA","Total","      21.994344","      21.994344"
"SISKIYOU","Total","     495.641195","     495.641195"
"SOLANO","Total","    3226.597752","    3226.597752"
"SONOMA","Total","    2880.398809","    2880.398809"
"STANISLAUS","Total","    4750.062635","    4750.062635"
"SUTTER","Total","     632.089399","     632.089399"
"TEHAMA","Total","     507.736248","     507.736248"
"TRINITY","Total","     135.048361","     135.048361"
"TULARE","Total","    4162.198178","    4162.198178"
"TUOLUMNE","Total","     452.644240","     452.644240"
"VENTURA","Total","    5344.035137","    5344.035137"
"YOLO","Total","    1720.746289","    1720.746289"
"YUBA","Total","     511.726005","     511.726005"
